note,velocity,start,end
76,65,0.391,0.506
75,74,0.495,0.61
76,71,0.581,0.713
75,74,0.6960000000000001,0.8290000000000001
76,66,0.794,0.904
71,83,0.886,1.025
74,88,1.002,1.111
72,85,1.094,1.226
69,83,1.203,1.284
45,61,1.209,1.313
52,73,1.307,1.422
57,76,1.41,1.56
60,81,1.5090000000000001,1.618
64,91,1.606,1.733
69,95,1.71,1.825
40,82,1.808,1.895
71,90,1.802,1.946
52,79,1.9060000000000001,2.033
56,68,2.004,2.108
64,88,2.108,2.257
68,71,2.2,2.309
71,77,2.297,2.424
72,79,2.39,2.487
45,43,2.396,2.5100000000000002
52,79,2.499,2.614
57,85,2.603,2.724
64,74,2.695,2.798
76,88,2.798,2.908
75,73,2.891,3.012
76,70,2.989,3.11
75,63,3.092,3.219
76,74,3.1910000000000003,3.3000000000000003
71,86,3.2880000000000003,3.398
74,80,3.392,3.495
72,70,3.484,3.594
69,83,3.588,3.662
45,55,3.5820000000000003,3.686
52,65,3.68,3.795
57,84,3.7840000000000003,3.916
60,74,3.876,3.997
64,76,3.98,4.095
69,89,4.066,4.199
40,75,4.158,4.25
71,83,4.1690000000000005,4.325
52,81,4.2620000000000005,4.389
56,74,4.366,4.469
64,90,4.464,4.573
72,80,4.567,4.676
71,88,4.659,4.768
45,64,4.746,4.872
52,83,4.855,4.97
69,93,4.751,5.056
57,88,4.9590000000000005,5.062
71,89,5.056,5.166
72,60,5.155,5.276
74,82,5.252,5.3790000000000004
48,74,5.344,5.472
76,85,5.362,5.495
55,77,5.454,5.575
60,84,5.563,5.679
67,88,5.662,5.759
76,79,5.771,5.846
77,65,5.765,5.909
76,88,5.8740000000000006,5.938
69,49,6.03,6.0760000000000005
67,67,6.018,6.134
